pic_name,scene_type,object_name,relationship_with_user,color,orientation,location,brightness,shape,texture
scene_medium_1_6,indoor room,shelf,center + middle + near,brown,horizontal,on the floor,dark,rectangular,smooth + wood
scene_medium_1_6,indoor room,wall lamp,center + high + far,silver,vertical,on the wall,bright,half-circle,smooth + metal
scene_medium_2_1,Kitchen,Coffee Cups,Center + Mid + Near,Blue,Upright,Countertop near sink,Medium,Cylindrical,Smooth + Plastic
scene_medium_2_1,Kitchen,Dishwasher,Center + Lower + Near,Grey,Installed,Countertop next to sink,Medium,Rectangular,Smooth + Metallic
scene_medium_2_1,Kitchen,Mug,Left + Mid + Near,Blue,Upright,Countertop near sink,Medium,Round with handle,Smooth + Plastic
scene_medium_2_1,Kitchen,Sink,Right + Mid + Near,Grey,Built-in,Attached to countertop,Medium,Rectangular,Smooth + Metallic
scene_medium_2_11,kitchen,coffee cups,center + at eye level + mid,blue and white,upright,on the counter,medium,cylindrical,smooth + paper
scene_medium_2_11,kitchen,dishwasher,left + below eye level + mid,gray,vertical,below the counter,medium,rectangular,smooth + metal and plastic
scene_medium_2_11,kitchen,faucet,right + at eye level + mid,gray,vertical,on the counter,medium,rounded,smooth + metal
scene_medium_2_11,kitchen,mug,left + at eye level + mid,blue,upright,on the counter,medium,cylindrical with handle,smooth + ceramic
scene_medium_2_11,kitchen,sink,right + at eye level + mid,gray,horizontal,on the counter,medium,complex,smooth + metal
scene_medium_2_6,kitchen,cups,center + middle + far,blue,upright,on the counter,dark,cylindrical,smooth + plastic
scene_medium_2_6,kitchen,dishwasher,bottom center + bottom + far,white,upright,below the counter,dark,rectangular,smooth + metal
scene_medium_2_6,kitchen,faucet,right + middle + far,black,upright,next to the sink,dark,curved,smooth + metal
scene_medium_2_6,kitchen,sink,right + middle + far,white,upright,on the counter,dark,rectangular,smooth + metal
scene_medium_3_1,Bedroom,Crib,Left + Below + Mid-distance,Brown,Upright,Near the window,Dark,Rectangular,Smooth + Wood
scene_medium_3_1,Bedroom,Rocking Horse,Center + Below + Near,Dark Brown,Upright,Under the light,Dark,Horse-shaped,Smooth + Wood
scene_medium_3_1,Bedroom,Wall Light,Center + Above + Far,Yellow,Upright,On the wall,Bright,Twin Lamp,Smooth + Metal
scene_medium_3_1,Bedroom,Wallpaper,Center + Above + Far,Beige,Upright,On the wall,Dim,Sheet,Patterned + Fabric
scene_medium_3_11,nursery or child's room,chairs,right + same level + far,brown and blue,upright,back right,dim,rectangular,smooth + wood
scene_medium_3_11,nursery or child's room,cribs,left + same level + far,brown and blue,upright,back left,dim,rectangular,smooth + wood
scene_medium_3_11,nursery or child's room,rocking horse,center + same level + medium distance,white with a hint of pink,upright,center,dim,horse-shaped,smooth + wood
scene_medium_3_11,nursery or child's room,wall lamp,center + above + far,brown and white,attached to wall,back center,dim,rounded,smooth + metal and glass
scene_medium_3_6,dimly lit room,beds,left + middle + far,tan,upright,center,dim,rectangular,soft + fabric and wood
scene_medium_3_6,dimly lit room,lamp,left + upper section + moderate,white,upright,left-center,dim,bulb-shaped,smooth + metal or plastic
scene_medium_3_6,dimly lit room,rocking horse,center + lower section + moderate distance,brown,horizontal,center,dim,horse-shaped,smooth + wood
