pic_name,scene_type,object_name,relationship_horizontal,relationship_vertical,relationship_distance,color,orientation,location,brightness,shape,texture,material
scene_hard_2_1,kitchen,Glass A,center,up,mid-range,white/transparent,vertical,top shelf of hutch,medium,cylindrical,smooth,glass
scene_hard_2_1,kitchen,Glass B,center,up,mid-range,white/transparent,vertical,top shelf of hutch,medium,cylindrical,smooth,glass
scene_hard_2_1,kitchen,Glass C,center,up,mid-range,white/transparent,vertical,top shelf of hutch,medium,cylindrical,smooth,glass
scene_hard_2_1,kitchen,Glass D,center,center,mid-range,white,vertical,middle shelf of hutch,medium,cylindrical,smooth,ceramic
scene_hard_2_1,kitchen,Hutch,center,center,mid-range,brown,facing forward,center of the image,dark,rectangular,smooth,wood
scene_hard_2_1,kitchen,Plates,center,center,mid-range,white,horizontal,middle shelf of hutch,medium,round,smooth,ceramic
scene_hard_2_1,kitchen,Trash Bin,left,down,near,black,facing forward,left corner,dark,cylindrical,smooth,metal or plastic
scene_hard_2_1,kitchen,Wall Lamp,right,up,far,gold/cream,facing forward,right wall,light,rounded,smooth,metal with fabric
scene_hard_3_1,Living Room,Binder A,Right,Up,Mid-range,Blue,Standing upright,Top shelf of Bookshelf A,Dark,Rectangular,Textured,Cardboard
scene_hard_3_1,Living Room,Book A,Middle,Up,Mid-range,Blue,Lying flat,Top shelf of Bookshelf A,Dark,Rectangular,Smooth,Paper
scene_hard_3_1,Living Room,Book B,Middle,Up,Mid-range,Yellow,Lying flat,Top shelf of Bookshelf A,Dark,Rectangular,Smooth,Paper
scene_hard_3_1,Living Room,Book C,Middle,Down,Mid-range,Black,Lying flat,Bottom shelf of Bookshelf A,Dark,Rectangular,Smooth,Paper
scene_hard_3_1,Living Room,Bookshelf A,Middle,Center,Mid-range,Brown,Facing forward,Back of the room,Dark,Rectangular,Smooth,Wood
scene_hard_3_1,Living Room,Cell Phone A,Left,Center,Mid-range,Black,Lying flat,Middle shelf of Bookshelf A,Dark,Rectangular,Smooth,Metal/Plastic
scene_hard_3_1,Living Room,Magazine A,Middle,Center,Mid-range,Blue,Stacked,Middle shelf of Bookshelf A,Dark,Rectangular,Textured,Paper
scene_hard_3_1,Living Room,Pencil A,Middle,Up,Mid-range,Pink,Lying flat,Top shelf of Bookshelf A,Dark,Cylindrical,Smooth,Paper
scene_medium_1_1,study room,Book B,right,down,mid-range,beige and green,lying flat,right side of cabinet,medium,rectangular,smooth,paper
scene_medium_1_1,study room,Bookshelf A,center,up,mid-range,brown,facing front,center,medium,rectangular,smooth,wood
scene_medium_1_1,study room,Cabinet A,center,down,mid-range,brown,facing front,bottom right,medium,rectangular,smooth,wood
scene_medium_1_1,study room,Cassette D,center,down,mid-range,black,lying flat,middle of cabinet,low,rectangular,smooth,plastic
scene_medium_1_1,study room,Cassette E,right,up,mid-range,black,lying flat,top shelf,low,rectangular,smooth,plastic
scene_medium_1_1,study room,Cassette G,left,up,mid-range,black,lying flat,top shelf left,low,rectangular,smooth,plastic
scene_medium_1_1,study room,Globe C,left,down,mid-range,blue and green,standing,left side of cabinet,medium,spherical,smooth,plastic
scene_medium_1_1,study room,Sconce F,left,up,mid-range,beige,attached to wall,top left wall,low,irregular,smooth,metal
scene_medium_2_1,kitchen,Cup A,left,center,near,blue and white,upright,on counter,medium,cylindrical,smooth,plastic
scene_medium_2_1,kitchen,Cup B,center,center,near,blue and white,upright,on counter,medium,cylindrical,smooth,plastic
scene_medium_2_1,kitchen,Cup C,center,center,near,blue and white,upright,on counter,medium,cylindrical,smooth,plastic
scene_medium_2_1,kitchen,Dishwasher,left,down,near,gray,upright,below counter,medium,rectangular,smooth,metal
scene_medium_2_1,kitchen,Faucet,right,up,near,gray,upright,attached to sink,medium,cylindrical,smooth,metal
scene_medium_2_1,kitchen,Sink,right,center,near,gray,upright,in counter,medium,rectangular,smooth,metal
scene_medium_2_1,kitchen,Wall Decal,right,up,near,gray and red,upright,on wall,medium,hexagonal,smooth,metal
scene_medium_3_1,children's room,Chair A,right,center,far,dark brown,north,right back,dim,rectangular prism,smooth,wood
scene_medium_3_1,children's room,Chair B,right,center,far,dark brown,north,right back,dim,rectangular prism,smooth,wood
scene_medium_3_1,children's room,Crib A,left,center,far,light brown,north,left corner,dim,rectangular prism,smooth,wood
scene_medium_3_1,children's room,Crib B,center,center,far,light brown,north,back center,dim,rectangular prism,smooth,wood
scene_medium_3_1,children's room,Rocking Horse,center,down,mid-range,dark brown,north,center of room,dim,animal-like,smooth,wood
scene_medium_3_1,children's room,Wall Lamp,center,up,far,beige,south,center back wall,bright,spherical,smooth,metal
